HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.Q0,Input.passage_id,Input.relevance_score,Input.passage,Input.labels,Input.query,Answer.taskAnswers,Approve,Reject,text_spans_2
3JYPJ2TAZMNN4LUDNQ3ET9RRLXNPFP,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,37Z929RLGENXN2Q00THZU27UCI4TS6,worker_332,Submitted,Wed May 17 21:55:46 PDT 2023,Wed May 17 21:57:24 PDT 2023,Sat May 20 21:57:24 PDT 2023,,,,98,100% (82/82),100% (82/82),100% (81/81),94_1,0,CAR_091bb05e583e685bdfa721adf0fd7dedf1303040,4,"Snowboarding is a sport that involves descending a slope that is either partially or fully covered with snow on a snowboard attached to a rider's feet using a special boot set into a mounted binding. The development of snowboarding was inspired by skateboarding, surfing and skiing. The first snowboard, the Snurfer, was invented by Sherman Poppen in 1965. Snowboarding became a Winter Olympic Sport in 1998.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"":True,""low"",""medium"",""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":355,""label"":""relevant-text-span"",""startOffset"":204}]}}]",x,,"['development of snowboarding was inspired by skateboarding, surfing and skiing. The first snowboard, the Snurfer, was invented by Sherman Poppen in 1965']"
3JYPJ2TAZMNN4LUDNQ3ET9RRLXNPFP,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,39GAF6DQWWFC6AVVS52UZJ86J01V1S,worker_242,Submitted,Wed May 17 12:34:47 PDT 2023,Wed May 17 12:35:02 PDT 2023,Sat May 20 12:35:02 PDT 2023,,,,15,100% (1625/1626),100% (149/149),100% (148/148),94_1,0,CAR_091bb05e583e685bdfa721adf0fd7dedf1303040,4,"Snowboarding is a sport that involves descending a slope that is either partially or fully covered with snow on a snowboard attached to a rider's feet using a special boot set into a mounted binding. The development of snowboarding was inspired by skateboarding, surfing and skiing. The first snowboard, the Snurfer, was invented by Sherman Poppen in 1965. Snowboarding became a Winter Olympic Sport in 1998.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"":True,""low"",""medium"",""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":282,""label"":""relevant-text-span"",""startOffset"":200},{""endOffset"":357,""label"":""relevant-text-span"",""startOffset"":283},{""endOffset"":408,""label"":""relevant-text-span"",""startOffset"":357}]}}]",x,,"['The development of snowboarding was inspired by skateboarding, surfing and skiing.', 'The first snowboard, the Snurfer, was invented by Sherman Poppen in 1965. ', 'Snowboarding became a Winter Olympic Sport in 1998.']"
3JYPJ2TAZMNN4LUDNQ3ET9RRLXNPFP,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3QILPRALQAAH9567PZPI4C11B58N8U,worker_180,Submitted,Wed May 17 18:14:00 PDT 2023,Wed May 17 18:56:59 PDT 2023,Sat May 20 18:56:59 PDT 2023,,,,2579,100% (83/83),100% (83/83),100% (82/82),94_1,0,CAR_091bb05e583e685bdfa721adf0fd7dedf1303040,4,"Snowboarding is a sport that involves descending a slope that is either partially or fully covered with snow on a snowboard attached to a rider's feet using a special boot set into a mounted binding. The development of snowboarding was inspired by skateboarding, surfing and skiing. The first snowboard, the Snurfer, was invented by Sherman Poppen in 1965. Snowboarding became a Winter Olympic Sport in 1998.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"":True,""low"",""medium"",""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":282,""label"":""relevant-text-span"",""startOffset"":200},{""endOffset"":356,""label"":""relevant-text-span"",""startOffset"":283}]}}]",x,,"['The development of snowboarding was inspired by skateboarding, surfing and skiing.', 'The first snowboard, the Snurfer, was invented by Sherman Poppen in 1965.']"
3DTJ4WT8CHUPCBWNFOHA2P85JVFEZH,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3AQF3RZ55DXIHZA2YW97CTW13K96FZ,worker_332,Submitted,Wed May 17 22:51:48 PDT 2023,Wed May 17 23:07:05 PDT 2023,Sat May 20 23:07:05 PDT 2023,,,,917,100% (82/82),100% (82/82),100% (81/81),94_1,0,CAR_aaa8e8d2819f0e02827442ced0f8d89aa202f53a,4,"In the early 1960s, at the height of surfing's popularity, the first snowboard ever was created by a chemical engineer named Sherman Poppen in Muskegon, Michigan. Poppen was inspired by watching his daughter attempt to sled down a hill standing up and so he decided to fashion his skis together and then tie rope to the nose for more stability. His wife named his creation the 'Snurfer', a combination of snow and surfer, and between 1966 and 1977, Poppen sold over half a million all around the country. The snurfer was originally marketed to kids in grocery stores but when more traditional models were created, they were marketed to surfers and skateboarders. Despite the increasing popularity, snowboarding was seen as a gimmick and wasn't recognized as a true sport. More importantly, it was banned from all ski resorts in North America, forcing any prospective boarders to look elsewhere. Backcountry snowboarding became the original kind of snowboarding simply because there was no other choice, boards were specifically designed for powder snow and the experimental board designs weren't designed for groomers. It wasn't until the 1980s that snowboarders were finally accepted into resorts. Despite the new access to resorts and lifts, some boarders chose to continue to ride in the backcountry.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"",""low"",""medium"":True,""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":661,""label"":""relevant-text-span"",""startOffset"":0}]}}]",,Chosen text spans are too long (longer than half of the passage). The requirements say that text spans should be concise and as short as possible.,"[""In the early 1960s, at the height of surfing's popularity, the first snowboard ever was created by a chemical engineer named Sherman Poppen in Muskegon, Michigan. Poppen was inspired by watching his daughter attempt to sled down a hill standing up and so he decided to fashion his skis together and then tie rope to the nose for more stability. His wife named his creation the 'Snurfer', a combination of snow and surfer, and between 1966 and 1977, Poppen sold over half a million all around the country. The snurfer was originally marketed to kids in grocery stores but when more traditional models were created, they were marketed to surfers and skateboarders""]"
3DTJ4WT8CHUPCBWNFOHA2P85JVFEZH,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3BQU611VFUZWY8LNTHCRM71SQK599Y,worker_242,Submitted,Wed May 17 12:25:00 PDT 2023,Wed May 17 12:26:36 PDT 2023,Sat May 20 12:26:36 PDT 2023,,,,96,100% (1625/1626),100% (149/149),100% (148/148),94_1,0,CAR_aaa8e8d2819f0e02827442ced0f8d89aa202f53a,4,"In the early 1960s, at the height of surfing's popularity, the first snowboard ever was created by a chemical engineer named Sherman Poppen in Muskegon, Michigan. Poppen was inspired by watching his daughter attempt to sled down a hill standing up and so he decided to fashion his skis together and then tie rope to the nose for more stability. His wife named his creation the 'Snurfer', a combination of snow and surfer, and between 1966 and 1977, Poppen sold over half a million all around the country. The snurfer was originally marketed to kids in grocery stores but when more traditional models were created, they were marketed to surfers and skateboarders. Despite the increasing popularity, snowboarding was seen as a gimmick and wasn't recognized as a true sport. More importantly, it was banned from all ski resorts in North America, forcing any prospective boarders to look elsewhere. Backcountry snowboarding became the original kind of snowboarding simply because there was no other choice, boards were specifically designed for powder snow and the experimental board designs weren't designed for groomers. It wasn't until the 1980s that snowboarders were finally accepted into resorts. Despite the new access to resorts and lifts, some boarders chose to continue to ride in the backcountry.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"",""low"",""medium"":True,""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":162,""label"":""relevant-text-span"",""startOffset"":0},{""endOffset"":247,""label"":""relevant-text-span"",""startOffset"":163},{""endOffset"":344,""label"":""relevant-text-span"",""startOffset"":254},{""endOffset"":420,""label"":""relevant-text-span"",""startOffset"":345},{""endOffset"":504,""label"":""relevant-text-span"",""startOffset"":426},{""endOffset"":662,""label"":""relevant-text-span"",""startOffset"":505},{""endOffset"":771,""label"":""relevant-text-span"",""startOffset"":663},{""endOffset"":841,""label"":""relevant-text-span"",""startOffset"":790},{""endOffset"":1001,""label"":""relevant-text-span"",""startOffset"":895},{""endOffset"":1197,""label"":""relevant-text-span"",""startOffset"":1118}]}}]",x,,"[""In the early 1960s, at the height of surfing's popularity, the first snowboard ever was created by a chemical engineer named Sherman Poppen in Muskegon, Michigan."", 'Poppen was inspired by watching his daughter attempt to sled down a hill standing up', ' he decided to fashion his skis together and then tie rope to the nose for more stability.', ""His wife named his creation the 'Snurfer', a combination of snow and surfer"", 'between 1966 and 1977, Poppen sold over half a million all around the country.', 'The snurfer was originally marketed to kids in grocery stores but when more traditional models were created, they were marketed to surfers and skateboarders.', ""Despite the increasing popularity, snowboarding was seen as a gimmick and wasn't recognized as a true sport."", 'it was banned from all ski resorts in North America', 'Backcountry snowboarding became the original kind of snowboarding simply because there was no other choice', "" It wasn't until the 1980s that snowboarders were finally accepted into resorts""]"
3DTJ4WT8CHUPCBWNFOHA2P85JVFEZH,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3VSOLARPKGOAJ6W7C8BHVUY6QUV93L,worker_180,Submitted,Wed May 17 17:51:20 PDT 2023,Wed May 17 18:08:38 PDT 2023,Sat May 20 18:08:38 PDT 2023,,,,1038,100% (83/83),100% (83/83),100% (82/82),94_1,0,CAR_aaa8e8d2819f0e02827442ced0f8d89aa202f53a,4,"In the early 1960s, at the height of surfing's popularity, the first snowboard ever was created by a chemical engineer named Sherman Poppen in Muskegon, Michigan. Poppen was inspired by watching his daughter attempt to sled down a hill standing up and so he decided to fashion his skis together and then tie rope to the nose for more stability. His wife named his creation the 'Snurfer', a combination of snow and surfer, and between 1966 and 1977, Poppen sold over half a million all around the country. The snurfer was originally marketed to kids in grocery stores but when more traditional models were created, they were marketed to surfers and skateboarders. Despite the increasing popularity, snowboarding was seen as a gimmick and wasn't recognized as a true sport. More importantly, it was banned from all ski resorts in North America, forcing any prospective boarders to look elsewhere. Backcountry snowboarding became the original kind of snowboarding simply because there was no other choice, boards were specifically designed for powder snow and the experimental board designs weren't designed for groomers. It wasn't until the 1980s that snowboarders were finally accepted into resorts. Despite the new access to resorts and lifts, some boarders chose to continue to ride in the backcountry.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"":True,""low"",""medium"",""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":420,""label"":""relevant-text-span"",""startOffset"":163},{""endOffset"":1001,""label"":""relevant-text-span"",""startOffset"":505}]}}]",x,,"[""Poppen was inspired by watching his daughter attempt to sled down a hill standing up and so he decided to fashion his skis together and then tie rope to the nose for more stability. His wife named his creation the 'Snurfer', a combination of snow and surfer"", ""The snurfer was originally marketed to kids in grocery stores but when more traditional models were created, they were marketed to surfers and skateboarders. Despite the increasing popularity, snowboarding was seen as a gimmick and wasn't recognized as a true sport. More importantly, it was banned from all ski resorts in North America, forcing any prospective boarders to look elsewhere. Backcountry snowboarding became the original kind of snowboarding simply because there was no other choice""]"
3IZPORCT2JOSUU1YV8V31P3J2UOHR7,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3LWJHTCVCH1BRHTMD5N5IYDS3LJFQ3,worker_332,Submitted,Wed May 17 22:44:07 PDT 2023,Wed May 17 22:44:56 PDT 2023,Sat May 20 22:44:56 PDT 2023,,,,49,100% (82/82),100% (82/82),100% (81/81),94_1,0,CAR_eb78f460f0ce986ae4dd5ea3ef4add4590c24b96,4,"Snowboarding was born in 1965 when Sherman Poppen created the 'Snurfer' by bracing a pair of skis together and riding  sideways down his backyard hill in Muskegon, Michigan. Through the late 60s, 70s and early 80s snowboard designs with the help of snowboard innovators Jake Burton, Tom Sims, Mike Olson, Dimitrije Milovich and others. It has since evolved into the fastest growing winter sport on the planet.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"":True,""low"",""medium"",""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":172,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"[""Snowboarding was born in 1965 when Sherman Poppen created the 'Snurfer' by bracing a pair of skis together and riding  sideways down his backyard hill in Muskegon, Michigan""]"
3IZPORCT2JOSUU1YV8V31P3J2UOHR7,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3TOK3KHVJYXVRC10G9XP515BQT2O7E,worker_242,Submitted,Wed May 17 12:22:54 PDT 2023,Wed May 17 12:23:32 PDT 2023,Sat May 20 12:23:32 PDT 2023,,,,38,100% (1625/1626),100% (149/149),100% (148/148),94_1,0,CAR_eb78f460f0ce986ae4dd5ea3ef4add4590c24b96,4,"Snowboarding was born in 1965 when Sherman Poppen created the 'Snurfer' by bracing a pair of skis together and riding  sideways down his backyard hill in Muskegon, Michigan. Through the late 60s, 70s and early 80s snowboard designs with the help of snowboard innovators Jake Burton, Tom Sims, Mike Olson, Dimitrije Milovich and others. It has since evolved into the fastest growing winter sport on the planet.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"":True,""low"",""medium"",""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":29,""label"":""relevant-text-span"",""startOffset"":0},{""endOffset"":173,""label"":""relevant-text-span"",""startOffset"":35}]}}]",x,,"['Snowboarding was born in 1965', ""Sherman Poppen created the 'Snurfer' by bracing a pair of skis together and riding  sideways down his backyard hill in Muskegon, Michigan.""]"
3IZPORCT2JOSUU1YV8V31P3J2UOHR7,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3TS1AR6UQVT1LZO7H6EZI7WXYUDF7P,worker_180,Submitted,Wed May 17 17:56:14 PDT 2023,Wed May 17 18:12:03 PDT 2023,Sat May 20 18:12:03 PDT 2023,,,,949,100% (83/83),100% (83/83),100% (82/82),94_1,0,CAR_eb78f460f0ce986ae4dd5ea3ef4add4590c24b96,4,"Snowboarding was born in 1965 when Sherman Poppen created the 'Snurfer' by bracing a pair of skis together and riding  sideways down his backyard hill in Muskegon, Michigan. Through the late 60s, 70s and early 80s snowboard designs with the help of snowboard innovators Jake Burton, Tom Sims, Mike Olson, Dimitrije Milovich and others. It has since evolved into the fastest growing winter sport on the planet.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"":True,""low"",""medium"",""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":173,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"[""Snowboarding was born in 1965 when Sherman Poppen created the 'Snurfer' by bracing a pair of skis together and riding  sideways down his backyard hill in Muskegon, Michigan.""]"
3D06DR5239YMNRGSKUPUY4M5JCZAM1,3U2Q8YJASC3DK83ESN46XNU30A3T5K,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Wed May 17 02:53:18 PDT 2023,3,BatchId:5075612;OriginalHitTemplateId:929448123;,21600,259200,Sat May 20 02:53:18 PDT 2023,,,3Q8GYXHFEUHFVJQE2B91CHXYAC55C6,worker_332,Submitted,Wed May 17 22:47:47 PDT 2023,Wed May 17 22:49:17 PDT 2023,Sat May 20 22:49:17 PDT 2023,,,,90,100% (82/82),100% (82/82),100% (81/81),94_1,0,CAR_fbc3b914b1e1b47e86832ed5a7c91718b19120ce,4,"However, a man by the name of Sherman Poppen, from Muskegon, MI, came up with what most consider the first 'snowboard' in 1965 and was called the Snurfer (a blend of 'snow' and 'surfer') who sold his first 4 'snurfers' to Randall Baldwin Lee of Muskegon, MI who worked at Outdoorsman Sports Center 605 Ottawa Street in Muskegon, MI (owned by Justin and Richard Frey or Muskegon). Randy believes that Sherman took an old water ski and made it into the snurfer for his children who were bored in the winter.  He added bindings to keep their boots secure. (Randy Lee October 14, 2014)  Commercially available Snurfers in the late 1960s and early 1970s had no bindings. The snowboarder held onto a looped nylon lanyard attached to the front of the Snurfer, and stood upon several rows of square U-shaped staples that were partially driven into the board but protruded about 1 cm above the board's surface to provide traction even when packed with snow. Later Snurfer models replaced the staples with ridged rubber grips running longitudinally along the length of the board (originally) or, subsequently, as subrectangular pads upon which the snowboarder would stand. It is widely accepted that Jake Burton Carpenter (founder of Burton Snowboards) and/or Tom Sims (founder of Sims Snowboards) invented modern snowboarding by introducing bindings and steel edges to snowboards.",,How did snowboarding begin?,"[{""answer_confidence"":{""high"",""low"",""medium"":True,""very_high"",""very_low""},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":1370,""label"":""relevant-text-span"",""startOffset"":30}]}}]",,Chosen text spans are too long (longer than half of the passage). The requirements say that text spans should be concise and as short as possible.,"[""Sherman Poppen, from Muskegon, MI, came up with what most consider the first 'snowboard' in 1965 and was called the Snurfer (a blend of 'snow' and 'surfer') who sold his first 4 'snurfers' to Randall Baldwin Lee of Muskegon, MI who worked at Outdoorsman Sports Center 605 Ottawa Street in Muskegon, MI (owned by Justin and Richard Frey or Muskegon). Randy believes that Sherman took an old water ski and made it into the snurfer for his children who were bored in the winter.  He added bindings to keep their boots secure. (Randy Lee October 14, 2014)  Commercially available Snurfers in the late 1960s and early 1970s had no bindings. The snowboarder held onto a looped nylon lanyard attached to the front of the Snurfer, and stood upon several rows of square U-shaped staples that were partially driven into the board but protruded about 1 cm above the board's surface to provide traction even when packed with snow. Later Snurfer models replaced the staples with ridged rubber grips running longitudinally along the length of the board (originally) or, subsequently, as subrectangular pads upon which the snowboarder would stand. It is widely accepted that Jake Burton Carpenter (founder of Burton Snowboards) and/or Tom Sims (founder of Sims Snowboards) invented modern snowboarding by introducing bindings and steel edges to snowboards""]"
