Input.turn_id,Input.query,Input.passage_id,Input.passage,Input.relevance_score,answerable_sentences,unanswerable_sentences
100_1,What causes my teeth to chip off?,MARCO_327089,"Falling, receiving a blow to the face, or biting down on something hard -- particularly if a tooth already has some decay -- can cause a tooth to chip or break. If you discover you have broken or chipped a tooth, don't panic. There are many things your dentist can do to fix it. How to Care for a Chipped or Broken Tooth",4,"{'Falling, receiving a blow to the face, or biting down on something hard -- particularly if a tooth already has some decay -- can cause a tooth to chip or break.'}","{'There are many things your dentist can do to fix it.', 'How to Care for a Chipped or Broken Tooth', ""If you discover you have broken or chipped a tooth, don't panic.""}"
100_1,What causes my teeth to chip off?,MARCO_4051652,"The possible causes of a chipped tooth include: 1  Falling and hitting your mouth. 2  Biting on a hard object or food, such as a hard candy or a bone. 3  Suffering trauma to the face from a sports injury or accident.  Cavities which can weaken the teeth and predispose you to a chipped tooth.",4,"{'The possible causes of a chipped tooth include: 1  Falling and hitting your mouth.', '3  Suffering trauma to the face from a sports injury or accident.', '2  Biting on a hard object or food, such as a hard candy or a bone.', 'Cavities which can weaken the teeth and predispose you to a chipped tooth.'}",set()
100_1,What causes my teeth to chip off?,MARCO_5717787,"Weak tooth enamel, which can be caused by diet, dry mouth, gastrointestinal issues, and stress, leaves you susceptible to tooth problems like cavities, chipping, and sensitivity. Demineralization, or weakening, can be turned around through...",4,"{'Weak tooth enamel, which can be caused by diet, dry mouth, gastrointestinal issues, and stress, leaves you susceptible to tooth problems like cavities, chipping, and sensitivity.'}","{'Demineralization, or weakening, can be turned around through...'}"
100_1,What causes my teeth to chip off?,MARCO_5717788,"Weak tooth enamel, which can be caused by diet, dry mouth, gastrointestinal issues, and stress, leaves you susceptible to tooth problems like cavities, chipping, and sensitivity. Demineralization, or...",4,"{'Weak tooth enamel, which can be caused by diet, dry mouth, gastrointestinal issues, and stress, leaves you susceptible to tooth problems like cavities, chipping, and sensitivity.'}","{'Demineralization, or...'}"
100_1,What causes my teeth to chip off?,MARCO_6657721,"An injury could crack, chip, or break a tooth, or make a tooth change color. A tooth also may be loose or moved in position (dental luxation) or jammed into the gum (intruded). Other dental injuries may be caused by grinding your teeth, especially at night. Your teeth may hurt, chip, or become loose.Biting surfaces may become flat and worn down. A broken or loose dental appliance or an orthodontic wire or bracket may poke or rub the inside of your mouth and make your mouth sore.ther dental injuries may be caused by grinding your teeth, especially at night. Your teeth may hurt, chip, or become loose. Biting surfaces may become flat and worn down. A broken or loose dental appliance or an orthodontic wire or bracket may poke or rub the inside of your mouth and make your mouth sore.",3,"{'Other dental injuries may be caused by grinding your teeth, especially at night.', 'An injury could crack, chip, or break a tooth, or make a tooth change color.', 'Your teeth may hurt, chip, or become loose.Biting surfaces may become flat and worn down.', 'Your teeth may hurt, chip, or become loose.', 'A broken or loose dental appliance or an orthodontic wire or bracket may poke or rub the inside of your mouth and make your mouth sore.ther dental injuries may be caused by grinding your teeth, especially at night.'}","{'Biting surfaces may become flat and worn down.', 'A tooth also may be loose or moved in position (dental luxation) or jammed into the gum (intruded).', 'A broken or loose dental appliance or an orthodontic wire or bracket may poke or rub the inside of your mouth and make your mouth sore.'}"
100_2,"Oh, what can dentists do to fix a chipped tooth?",MARCO_2964882,Chipped teeth account for the majority of dental injuries. Most chipped teeth can be repaired either by reattaching the broken piece of tooth enamel or by bonding a tooth-colored filling or crown in place.See your dentist as soon as possible after the injury to treat your chipped tooth and keep it from worsening.hipped teeth account for the majority of dental injuries. Most chipped teeth can be repaired either by reattaching the broken piece of tooth enamel or by bonding a tooth-colored filling or crown in place.,3,"{'Most chipped teeth can be repaired either by reattaching the broken piece of tooth enamel or by bonding a tooth-colored filling or crown in place.See your dentist as soon as possible after the injury to treat your chipped tooth and keep it from worsening.hipped teeth account for the majority of dental injuries.', 'Most chipped teeth can be repaired either by reattaching the broken piece of tooth enamel or by bonding a tooth-colored filling or crown in place.'}",{'Chipped teeth account for the majority of dental injuries.'}
100_2,"Oh, what can dentists do to fix a chipped tooth?",MARCO_3163931,Chipped teeth account for the majority of dental injuries. Most chipped teeth can be repaired either by reattaching the broken piece of tooth enamel or by bonding a tooth-colored filling or crown in place.,3,{'Most chipped teeth can be repaired either by reattaching the broken piece of tooth enamel or by bonding a tooth-colored filling or crown in place.'},{'Chipped teeth account for the majority of dental injuries.'}
100_2,"Oh, what can dentists do to fix a chipped tooth?",MARCO_4051646,"How Does a Dentist Treat a: Chipped tooth  If there is no pain and the chip is small, it's up to you to decide if, when and how the tooth should be repaired. Depending on the size of the chip, it can be smoothed or cosmetically corrected. Other options include veneers, crowns and fillings.",4,"{'Depending on the size of the chip, it can be smoothed or cosmetically corrected.', ""How Does a Dentist Treat a: Chipped tooth  If there is no pain and the chip is small, it's up to you to decide if, when and how the tooth should be repaired."", 'Other options include veneers, crowns and fillings.'}",set()
100_2,"Oh, what can dentists do to fix a chipped tooth?",MARCO_8175401,"If the chip is small, you are not feeling any pain, and no nerve is exposed, it is possible for a tooth-colored bonded composite filling to be placed to repair the chipped area. However, depending on where the chip is located, how your bite looks, and what shows up on the x-ray of that tooth, the best long-term solution could possibly be a crown. The potential problem with placing a filling in a chipped tooth that would be better served by a crown is that over time, the stresses of your bite and other forces on the tooth may cause the tooth the crack or chip even worse.",3,"{'The potential problem with placing a filling in a chipped tooth that would be better served by a crown is that over time, the stresses of your bite and other forces on the tooth may cause the tooth the crack or chip even worse.', 'If the chip is small, you are not feeling any pain, and no nerve is exposed, it is possible for a tooth-colored bonded composite filling to be placed to repair the chipped area.', 'However, depending on where the chip is located, how your bite looks, and what shows up on the x-ray of that tooth, the best long-term solution could possibly be a crown.'}",set()
100_2,"Oh, what can dentists do to fix a chipped tooth?",MARCO_8367820,"Knowing why your teeth might chip can help you prevent dental damage and maintain a beautiful smile. If you do suffer from chips or cracks, Dr. Flanagan can restore your smile with dental bonding, crowns, or even porcelain veneers. Contact our Clear Lake dental practice today to learn more or schedule a consultation.",3,"{'If you do suffer from chips or cracks, Dr. Flanagan can restore your smile with dental bonding, crowns, or even porcelain veneers.'}","{'Contact our Clear Lake dental practice today to learn more or schedule a consultation.', 'Knowing why your teeth might chip can help you prevent dental damage and maintain a beautiful smile.'}"
