,turn_id,Q0,passage_id,relevance_score,passage
3,132_1-1,0,KILT_2043296-13,0,"At its third session, for the first time, the CoSP also adopted a resolution on preventive measures, in which it established the Open-Ended Intergovernmental Working Group on Prevention to further explore good practices in this field. The CoSP was preceded and accompanied by numerous side events, such as the last Global Forum for Fighting Corruption and Safeguarding Integrity (in cooperation with businesses) and a Youth Forum.   The fourth session of the CoSP took place in Marrakech, Morocco, from 24 to 28 October 2011.  The Conference considered the progress made in the IRM and recognized the importance of addressing technical assistance needs in the Review Mechanism.  It also reiterated its support for the Working Groups on Asset Recovery and Prevention and established Open-Ended Intergovernmental Expert Group Meetings on International Cooperation to advise and assist the CoSP with respect to extradition and mutual legal assistance.  In addition to its main agenda, the CoSP hosted 19 side events, bringing together governments and different parts of society, such as the private sector, parliamentarians, anti-corruption authorities and civil society organizations.   Other sessions of the CoSP took place in Panama in 2013, the Russian Federation in 2015 and Austria in 2017.   Section::::Implementation of the UNCAC and monitoring mechanism."
47,132_1-1,0,MARCO_33_1621342262-6,0,"Play 8 Use the arrow keys to increase and decrease the volume / Enter full screen Open subtitles settings menu Subtitles ON Aa Aa Aa Aa Aa Open playback settings menu for autoplay and video quality settings Playback settings Autoplay Play next item automatically ON Video quality Medium Currently unavailable Low Medium Highest available Automatically selects the best quality available Open playback speed menu 1x Playback speed 0.5x 0.8x 1x 1.5x 2x Cast this programme Open Picture in Picture mode Get embed code Use the arrow keys to forward and rewind G Watch: What Greta said to world leaders at COP25 in Madrid Getty Images Despite the discussions, countries couldn't agree on areas like offsetting carbon and financial aid for developing nations. These topics will be discussed again at next year's conference.  The UN Secretary General, Antonio Guterres, said he felt 'disappointed' by how little was actually achieved at COP25, and others called the conference a failure.  COP 24: After lots of discussion at the conference in Poland, an agreement for a new international climate regime was reached.  The agreement set out that each country must report their emissions every two years, and demonstrate they had taken steps to cut them - but this new regime doesn't begin until 2024."
52,132_1-1,0,MARCO_48_1287326407-10,0,"Please select (if applicable) Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Leeds Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Cambridge Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Leeds Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Ipswich Hospital Leicester Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Leeds Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Cambridge Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Leeds Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Glasgow Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Brentwood Hospital Bristol Hospital Cardiff and Vale Hospitals Plymouth Hospital Guildford Hospital Tunbridge Wells Hospital Wessex Hospital Woking Hospital Ipswich Hospital North Staffordshire Hospital Oxford, The Manor Hospital Warwickshire Hospital Optional: What can we help you with?"
10,132_1-1,0,KILT_40809554-1,0,"1974 IAAF World Cross Country Championships – Junior men's race  The Junior men's race at the 1974 IAAF World Cross Country Championships was held in Monza, Italy, at the Mirabello Racecourse on March 16, 1974.  A report on the event was given in the Glasgow Herald.   Complete results, medallists,   Section::::Participation.   An unofficial count yields the participation of 75 athletes from 14 countries in the Junior men's race.  This is in agreement with the official numbers as published.   BULLET::::- (2)  BULLET::::- (6)  BULLET::::- (5)  BULLET::::- (6)  BULLET::::- (6)  BULLET::::- (6)  BULLET::::- (6)  BULLET::::- (5)  BULLET::::- (4)  BULLET::::- (6)  BULLET::::- (6)  BULLET::::- (6)  BULLET::::- (6)  BULLET::::- (5)  Section::::See also.   BULLET::::- 1974 IAAF World Cross Country Championships – Senior men's race  BULLET::::- 1974 IAAF World Cross Country Championships – Senior women's race"
6,132_1-1,0,KILT_2458522-3,0,"BULLET::::- Glasgow University Library  BULLET::::- Strathclyde University Library  BULLET::::- Glasgow Caledonian University Library  BULLET::::- Glasgow Women's Library  BULLET::::- Mitchell Library  BULLET::::- Stirling's Library  Section::::Libraries.:Community Libraries.  Glasgow has 32 community libraries across the city, run by Glasgow Life.   BULLET::::- Anniesland Library  BULLET::::- Ballieston Library  BULLET::::- Barmulloch Library  BULLET::::- Bridgeton Library  BULLET::::- Castlemilk Library  BULLET::::- Cardonald Library  BULLET::::- Couper Institute  BULLET::::- Dennistoun Library  BULLET::::- Drumchapel Library  BULLET::::- Elderpark Library  BULLET::::- Gallery of Modern Art (GoMA)  BULLET::::- Gorbals Library  BULLET::::- Govanhill Library  BULLET::::- Hillhead Library  BULLET::::- Ibrox Library  BULLET::::- Langside Library  BULLET::::- Knightswood Library  BULLET::::- Library at The Bridge (Easterhouse)  BULLET::::- Maryhill Library  BULLET::::- Milton Library  BULLET::::- Parkhead Library  BULLET::::- Partick Library  BULLET::::- Pollok Library  BULLET::::- Pollokshaws Library  BULLET::::- Pollokshields Library  BULLET::::- Possilpark Library  BULLET::::- Royston Library  BULLET::::- Riddrie Library  BULLET::::- Shettleston Library  BULLET::::- Springburn Library  BULLET::::- Woodside Library  BULLET::::- Whiteinch Library  Section::::Entertainment.   Most of Scotland's National Companies including Scottish Opera, Scottish Ballet, National Theatre of Scotland and the Royal Scottish National Orchestra are based here as is the BBC Scottish Symphony Orchestra."
116,132_1-3,0,MARCO_12_478606353-8,0,"This is the fanatic face of Saturn in Aquarius. Europe has seen it all before, to its regret, and doing nothing will not be an option for European leaders in 2021, but it will be extremely difficult to dampen the fire without making it worse.  The G7 2021 The UK will be the president of the G7 in 2021 and may use next year’s G7 to launch the ‘D10,’ an alliance of democratic states that could act as a counterweight to China.  South Korea, India, and Australia will be invited, along with the usual G7 members.  The idea of this new alliance has already drawn interest from the Democrats in the US and is also a reminder that no country will be more aligned with US foreign policy goals under Biden than Britain.  NATO is usually a tricky issue for France, and Germany’s strong economic relationship with China complicates its attitude to Beijing.  Mr. Biden will be keen to show that the US is turning the page on Mr. Trump’s ‘America First,’ agenda while a Trump second term will likely mean the opposite.  One way to do that would be to re-enter the climate change agreement from which Mr. Trump withdrew, and next year Britain is also hosting the (delayed) UN climate change conference in Glasgow next year, COP26."
73,132_1-3,0,KILT_21411868-3,0,"BULLET::::- 20 October – Nine North Koreans who entered the Danish embassy in Hanoi, Vietnam, last month leave for South Korea.  BULLET::::- 29 October – Danish Prime Minister Lars Loekke Rasmussen says a deal at a UN climate change summit in December is unlikely.   Section::::Events.:November.  BULLET::::- 15 November – APEC leaders say a deal on global warming will not be possible before next month's United Nations summit in Denmark.   Section::::Events.:December.   BULLET::::- 7–18 December – The UNFCCC's United Nations Climate Change Conference 2009 conference is held in Copenhagen.   BULLET::::- 12 December – Police in Denmark detain 900 people after thousands gather in Copenhagen to demand more action on climate change and global warming by leaders at the United Nations Climate Change Conference.   BULLET::::- 15 December – U.N. Secretary-General Ban Ki-moon and Danish hosts urge countries on to compromise to salvage agreement on a new U.N. pact aimed at averting dangerous climate change and global warming.   BULLET::::- 16 December – Danish Prime Minister Lars Løkke Rasmussen replaces Connie Hedegaard in a 'procedural move' as president of the U.N. climate talks, as further clashes take place around the perimeter of the summit.   Section::::The arts.   Section::::The arts.:Architecture."
207,132_1-3,0,MARCO_48_1471185837-12,0,"postponed from Nov. 9-19, 2020]: The musically named 26th United Nations Climate Change Conference of the Parties of the U.N. Framework Convention on Climate Change, or COP26, will be the biggest international summit meeting that Britain has ever hosted. The postponed meeting will enjoy the benefit of hindsight; with the election of Joseph R. Biden Jr. to the presidency, the United States is expected to make a 180-degree turn in its climate change and conservation policies, first by returning to the 2015 Paris Agreement.  BARBADOS, by November 2021: Barbados, a former British colony that gained independence in 1966, will shed more remnants of its past by removing Queen Elizabeth as its titular monarch, the first country in nearly three decades to do so.  The queen remains ceremonial “ruler” of the 16 other countries that make up the Commonwealth, including Australia, Canada and New Zealand.  DECEMBER UNITED STATES, Dec. 2-5  [  postponed from Dec. 3-6, 2020]: The hottest of all the Basel international art fairs, Art Basel Miami Beach, will return after a year in which it was largely confined to online viewing rooms and its venue, the Miami Beach Convention Center, was used as a reserve field hospital and a drive-through coronavirus testing site."
167,132_1-3,0,MARCO_31_660676387-6,0,-1.5°C29.3°F 2009 Greatest precipitation (1995-2021) 36.6 mm1.44 inches 2000 Greatest rainfall n/a Greatest snowfall n/a Most snow on the ground (1997-2006) 0.0 cm0.0 inches Monthly frequency of precipitation n/a 19 May19 May Average high n/a Average low n/a Highest temperature (1995-2020) 27.5°C81.5°F 2012 Lowest temperature (1995-2020) -0.7°C30.7°F 2002 Greatest precipitation (1995-2020) 13.2 mm0.52 inches 2011 Greatest rainfall n/a Greatest snowfall n/a Most snow on the ground (1997-2006) 0.0 cm0.0 inches Monthly frequency of precipitation n/a 20 May20 May Average high n/a Average low n/a Highest temperature (1995-2020) 29.7°C85.5°F 2013 Lowest temperature (1995-2020) -2.1°C28.2°F 2002 Greatest precipitation (1995-2020) 83.2 mm3.28 inches 1996 Greatest rainfall n/a Greatest snowfall n/a Most snow on the ground (1997-2006) 0.0 cm0.0 inches Monthly frequency of precipitation n/a 21 May21 May Average high n/a Average low n/a Highest temperature (1995-2020) 26.5°C79.7°F 2010 Lowest temperature (1995-2020) -0.7°C30.7°F 2007 Greatest precipitation (1995-2020) 16.2 mm0.64 inches 2001 Greatest rainfall n/a Greatest snowfall n/a Most snow on the ground (1997-2006) 0.0 cm0.0 inches Monthly frequency of precipitation n/a 22 May22 May Average high n/a Average low n/a Highest temperature (1995-2020) 26.1°C79.0°F 2011 Lowest temperature (1995-2020) 0.7°C33.3°F 1997 Greatest precipitation (1995-2020) 27.8 mm1.09 inches 2004 Greatest rainfall n/a Greatest snowfall n/a Most snow on the ground (1997-2006) 0.0 cm0.0 inches Monthly frequency of precipitation n/a 23 May23 May Average high n/a Average low n/a Highest temperature (1995-2020) 27.8°C82.0°F 2007 Lowest temperature (1995-2020) -0.6°C30.9°F 1997 Greatest precipitation (1996-2020) 22.6 mm0.89 inches 2004 Greatest rainfall n/a Greatest snowfall n/a Most snow on the ground (1997-2006) 0.0 cm0.0 inches Monthly frequency of precipitation n/a 24 May24 May Average high n/a Average low n/a Highest temperature (1995-2020) 28.5°C83.3°F 2012 Lowest temperature (1995-2020) 0.3°C32.5°F 2013 Greatest precipitation (1995-2020) 10.0 mm0.39 inches 2004 Greatest rainfall n/a Greatest snowfall n/a Most snow on the ground (1997-2006) 0.0 cm0.0 inches Monthly frequency of precipitation n/a Yesterday's Data Historical Weather Max:  23.7 		°C74.7 		°F Min:  7.9 		°C46.2 		°F Total Precipitation: 0.0 mm0.00 in Follow: Follow: Weather Alerts No endorsement of any products or services is expressed or implied.
110,132_1-3,0,MARCO_11_447089690-7,0,"24, 28, 29, 36 Patients vividly described feelings of uncertainty, profound anxiety and fear of death experienced at times of markedly worsening dyspnea suggesting the importance of effective models of care to adequately assess and address dyspnea-related anxiety disorders in COPD. 23 Depression has been the primary focus on much of the research into the psychological effects of COPD.  Depression rates among patients with severe COPD are 2–4 times higher than those of the general population.  23, 24, 33 COPD-related depression has been associated with decreased health-related QoL, functional status and coping, increased COPD symptoms, and failure of treatment for exacerbations.  26, 33, 37 Further, in one study, the authors reported a significant increase in mortality rates for depressed patients hospitalized with a COPD exacerbation compared with those who were not depressed.  33 Meanwhile fewer than 30% of healthcare providers recognize anxiety and/or depression and fewer still follow best practice treatment guidelines despite evidence that COPD patients with anxiety or depression have a higher risk of cognitive decline, functional decline, lower self-efficacy and more serious life events than those without these mental health concerns."
