Unnamed: 0,turn_id,Q0,passage_id,relevance_score,passage,query,partition
55,81_1,0,MARCO_5241444,0,"A garage door installation service charges $421 to replace an electric garage door opener in a typical two-car garage, which includes the labor and material. If you're a handy homeowner, you can replace an old unit with a new one for $210, the garage door opener installation cost, and save 50 percent.ow you know the average cost to install a garage door opener, which includes the labor and material, and whatâs involved, so you can decide to do it yourself or hire a contractor. Donât forget to adjust the cost to where you live by adding your ZIP Code.",How do you know when your garage door opener is going bad?,train
85,81_1,0,MARCO_6273827,0,"Use a Lowe's professional installer for your garage door opener installation project. Shop Lowe's for garage door openers, garage doors, garage door opener accessories and garage door hardware. Use our Garage Door Opener Selector to choose the right garage door opener for your home.rowse garage door openers on Lowes.com or at your local Lowe's store. Work with a Lowe's sales associate to plan your install project and select the right garage door opener for your home and budget.",How do you know when your garage door opener is going bad?,train
89,81_1,0,MARCO_6519779,0,"On roll-up doors, the spring tension is controlled by a cable on a pulley. To adjust the tension, pull the cable and reknot the end to shorten or lengthen the cable. Sometimes the problem with your garage door can be traced to the opener. In the following section, we'll show you how to replace a garage door opener.",How do you know when your garage door opener is going bad?,train
58,81_1,0,MARCO_5498469,0,"Pin. E-mail. The power to your garage is out with the door shut, and you need to get your car out or you'll have to take a bus. THE QUICK FIX. You'll notice a cord--usually with a red handle--dangling down from the guide track that the opener uses to open and close the door.This is the manual override.in. E-mail. The power to your garage is out with the door shut, and you need to get your car out or you'll have to take a bus. THE QUICK FIX. You'll notice a cord--usually with a red handle--dangling down from the guide track that the opener uses to open and close the door. This is the manual override.",How do you know when your garage door opener is going bad?,train
110,81_1,0,MARCO_8752372,0,"Using the wrong light bulb, or a higher bulb wattage than your garage door opener light socket is rated for, can cause damage to the light socket inside your LiftMaster garage door opener.ush on the socket until it snaps in place. Install the light bulb in the socket. Replace the lens cover onto the garage door opener. Plug the opener into the outlet in the ceiling or turn on the circuit breaker.",How do you know when your garage door opener is going bad?,train
223,81_2,0,MARCO_8091791,0,"If the hypothalamus stopped working the body would no longer be able to maintain body temperature. It could lead to pathological sleep, loss of temperature control, excessive urine production. etc. If the hypothalamus stopped working the body would no longer be able to maintain body temperature. It could lead to pathological sleep, loss of temperature control, excessive urine production. etc If the hypothalamus stopped working the body would no longer be able to maintain body temperature.",Now my garage door opener stopped working. Why?,train
151,81_2,0,MARCO_3489546,0,Once the garage door opener is activated the lights will turn off after the specified period of time (the factory setting is 4-1/2 minutes). The LIGHT button will not control the lights when the door is in motion.,Now my garage door opener stopped working. Why?,train
188,81_2,0,MARCO_5826741,0,"Why a Child May Have Trouble Falling Asleep. 1  Not Tired. Yes, it could be that simple. 2  Need More Time Alone to Wind Down. If a child is an introvert, he or she may need extra time alone to settle down from the day. 3  Brain Wonât âShut Downâ. A gifted child will often complain to parents that his brain just wonât stop working.",Now my garage door opener stopped working. Why?,train
136,81_2,0,MARCO_1900272,0,"Lowe's Garage Door Opener Install. Use a Lowe's professional installer for your garage door opener installation project. Shop Lowe's for garage door openers, garage doors, garage door opener accessories and garage door hardware. Use our Garage Door Opener Selector to choose the right garage door opener for your home.owe's Garage Door Opener Install. Use a Lowe's professional installer for your garage door opener installation project. Shop Lowe's for garage door openers, garage doors, garage door opener accessories and garage door hardware. Use our Garage Door Opener Selector to choose the right garage door opener for your home.",Now my garage door opener stopped working. Why?,train
165,81_2,0,MARCO_4532453,0,"You still need to know the manufacturer to make sure the remote works for your garage door and to program the remote. You can program universal garage door openers to open one or two garage doors. With the addition of a light control switch, a universal remote also turns on the garage light or your home lights.ou can also replace a garage door opener with a wireless keypad. Wireless keypads can open up to three different gates or garage doors, and are usually mounted outside the garage so that family members can open the garage without the remote.",Now my garage door opener stopped working. Why?,train
