turn_id,query,passage_id,passage,answerability,predicted_response,predicted_value
98_6,What are the sources of proteins for vegetarians?,CAR_b86d09603f55057ddd63ee87428aceceeffa56b3,"Proteins are composed of amino acids. Vegans obtain all their protein from plants, omnivores usually a third, and ovo-lacto vegetarians half. Sources of plant protein include legumes such as soy beans (consumed as tofu, tempeh, texturized vegetable protein, soy milk and edamame), peas, peanuts, black beans and chickpeas (the latter often eaten as hummus); grains such as quinoa (pronounced keenwa), brown rice, corn, barley, bulgur and wheat (the latter eaten as bread and seitan); and nuts and seeds. Combinations that contain high amounts of all the essential amino acids include rice and beans, corn and beans, and hummus and whole-wheat pita.",1,1,1
98_6,What are the sources of proteins for vegetarians?,MARCO_153415,"Current recommendations are that vegetarians eat a wide variety of foods during the course of a day. Eggs and dairy products are good sources of protein, but also try nuts, peanut butter, tofu, beans, seeds, soy milk, grains, cereals, and vegetables to get all the protein your body needs.",1,1,1
98_6,What are the sources of proteins for vegetarians?,MARCO_7088899,"Vegan protein sources include: 1  soy foods: soya beans. 2  processed soy like tofu and soymilk. 3  processed soy foods like veggie burgers, hot dogs and sausage. 4  non-soy beans (lentils, black beans, chick peas, etc) 5  nuts and seeds. 6  whole grains. 7  mildly processed foods: like tempeh and seitan.",1,1,1
98_6,What are the sources of proteins for vegetarians?,MARCO_7088901,"How should not be the issue, but where, is a valid question. In an animal protein based society, we grow up believing the only sources of protein are from animals. As a vegan athlete I outline meal programs that are protein-rich and plant derived to show exactly where and how vegans get their protein. I pay special attention to protein and my main protein sources come from hemp, soy, tempeh, nuts, beans, lentils, grains and a variety of powders and bars including complete meal replacements, adding up to 200-300 grams per day. Tofu, a soy product, typically has 10-20 grams of protein per serving.",1,1,1
98_6,What are the sources of proteins for vegetarians?,MARCO_7514570,"Legumes include some of the most common protein sources in the vegetarian diet, such as soy, lentils, black beans, chickpeas, peanuts and peanut butter. These foods are much higher in protein than most grains, with a single serving providing between approximately 14 and 89 percent of your daily intake.",1,1,1
82_1,I would like to learn about GMO Food labeling.,CAR_11a62de61f9acb61e79afcc17bc051aebeea4f8e,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the United States labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled. Japan, Malaysia, New Zealand, and Australia require labeling so consumers can exercise choice between foods that have genetically modified, conventional or organic origins.",1,1,1
82_1,I would like to learn about GMO Food labeling.,CAR_127c8f0e34a6b25f92f6e8c089fa4a79620d381c,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling of GMO products in the marketplace is required in 64 countries.  Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the USA labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.",1,1,1
82_1,I would like to learn about GMO Food labeling.,MARCO_2085065,"Reply. Hi Jay, Here's a link to our Wegmans Organic Mayo page on our product catalog. Under the Details' tab, you'll find the full list of ingredients. This is also the page where you'll find nutrition facts and other label information.t does cost considerably more than our conventional Wegmans mayo, $3.49 for a pint jar. It is USDA certified organic, so all ingredients have to be certified organic. That means no synthetic pesticide, fertilizer, GMOs.",1,1,1
82_1,I would like to learn about GMO Food labeling.,MARCO_5055324,"The U.S. Food and Drug Administration has tested all the GMOs on the market to determine whether they are toxic or allergenic. They are not. (The GMO-fearing can seek out 100 Percent Organic products, indicating that a food contains no genetically modified ingredients, among other requirements.).Many people argue for GMO labels in the name of increased consumer choice. On the contrary, such labels have limited people's options.In 1997, a time of growing opposition to GMOs in Europe, the E.U. began to require them.The GMO-fearing can seek out 100 Percent Organic products, indicating that a food contains no genetically modified ingredients, among other requirements.). Many people argue for GMO labels in the name of increased consumer choice. On the contrary, such labels have limited people's options.",1,1,1
82_1,I would like to learn about GMO Food labeling.,MARCO_888484,"India and China are the two largest producers of genetically modified products in Asia. India currently only grows GM cotton, while China produces GM varieties of cotton, poplar, petunia, tomato, papaya and sweet pepper. study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the USA labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.",1,1,1
82_9,How does the DNA-based method work for testing GMO contamination.,CAR_01261fc64032615f50930b35a170b8346a77ad18,"Quantitative PCR (Q-PCR) is used to measure the quantity of a PCR product (preferably real-time, QRT-PCR). It is the method of choice to quantitatively measure amounts of transgene DNA in a food or feed sample. Q-PCR is commonly used to determine whether a DNA sequence is present in a sample and the number of its copies in the sample. The method with currently the highest level of accuracy is quantitative real-time PCR. QRT-PCR methods use fluorescent dyes, such as Sybr Green, or fluorophore-containing DNA probes, such as TaqMan, to measure the amount of amplified product in real time. If the targeted genetic sequence is unique to a certain GMO, a positive PCR test proves that the GMO is present in the sample.",1,1,1
82_9,How does the DNA-based method work for testing GMO contamination.,CAR_5ec97f5bb36766ccac7617b4461075adea603c35,"Currently, it is highly unlikely that the presence of unexpected or even unknown GMOs will be detected, since either the DNA sequence of the transgene or its product, the protein, must be known for detection. In addition, even testing for known GMOs is time-consuming and costly, as current reliable detection methods can test for only one GMO at a time. Therefore, research programmes such as Co-Extra are developing improved and alternative testing methods, for example DNA microarrays.",1,1,1
82_9,How does the DNA-based method work for testing GMO contamination.,CAR_5f09f5da8af05523da3af51553191d7dbf4fff51,"Whether or not a GMO is present in a sample can be tested by Q-PCR, but also by multiplex PCR. Multiplex PCR uses multiple, unique primer sets within a single PCR reaction to produce amplicons of varying sizes specific to different DNA sequences, i.e. different transgenes. By targeting multiple genes at once, additional information may be gained from a single test run that otherwise would require several times the reagents and more time to perform. Annealing temperatures for each of the primer sets must be optimized to work correctly within a single reaction, and amplicon sizes, i.e., their base pair length, should be different enough to form distinct bands when visualized by gel electrophoresis.",1,1,1
82_9,How does the DNA-based method work for testing GMO contamination.,CAR_d0ee16f93408feddc1dbd5bfb58a7a2747609b57,"Almost all transgenic plants contain a few common building blocks that make unknown GMOs easier to find. Even though detecting a novel gene in a GMO can be like finding a needle in a haystack, the fact that the needles are usually similar makes it much easier. To trigger gene expression, scientists couple the gene they want to add with what is known as a transcription promoter. The high-performing 35S promoter is a common feature to many GMOs. In addition, the stop signal for gene transcription in most GMOs is often the same: the NOS terminator. Researchers now compile a set of genetic sequences characteristic of GMOs. After genetic elements characteristic of GMOs are selected, methods and tools are developed for detecting them in test samples. Approaches being considered include microarrays and anchor PCR profiling.",1,1,1
82_9,How does the DNA-based method work for testing GMO contamination.,CAR_fa6845f7274f80985362fd9bbe9895e92a55189a,"Improving PCR based detection of GMOs is a further goal of the European research programme Co-Extra. Research is now underway to develop multiplex PCR methods that can simultaneously detect many different transgenic lines. Another major challenge is the increasing prevalence of transgenic crops with stacked traits. This refers to transgenic cultivars derived from crosses between transgenic parent lines, combining the transgenic traits of both parents. One GM maize variety now awaiting a decision by the European Commission, MON863 x MON810 x NK603, has three stacked traits. It is resistant to an herbicide and to two different kinds of insect pests. Some combined testing methods could give results that would triple the actual GM content of a sample containing this GMO.",1,1,1
103_2,Why did the Grateful Dead allow live recordings?,CAR_0f266a4419b32e90a497b53df70993e952d7b973,"Starting in 1984, the band recognized the fact that people were already 'unofficially' taping their shows, so they started to sell taper tickets for a taper's section which allowed the tapers to bring their own microphones and tape decks to record with, as well as wrangle the tapers into one area of the venue so to keep them from interfering with other concertgoers.  This type of encouragement has spread to nearly all of the jam bands. Some jam band enthusiasts argue that if a band does not allow fans to tape their live shows, this band is not actually a jam band in the Grateful Dead tradition.",1,1,1
103_2,Why did the Grateful Dead allow live recordings?,CAR_279de62518ad1b76dcbe9de8a896793cb8110bd0,"Throughout their career, the Grateful Dead were known to tolerate taping of the live shows. There was a demand from fans to hear the improvisations that resulted from each show, and the concept of taping shows appealed to the band's general community ethos. They were unique among bands in that their live shows tended not to be pressed and packaged as LPs, but remained in tape form to be shared between tapers. The group were strongly opposed to commercial bootlegging and policed stores that sold them, while the saturation of tapes among fans suppressed any demand for product. In 1985, the Dead, after years of tolerance, officially endorsed live taping of their shows, and set up dedicated areas that they believed gave the best sound recording quality. Other bands, including Pearl Jam, Phish and the Dave Matthews Band tolerate taping in a similar manner to the Dead, provided no profit is involved. Because of the questionable legality of bootlegs, fans have sometimes simply dubbed a bootleg onto tape and freely passed it onto others.",1,1,1
103_2,Why did the Grateful Dead allow live recordings?,CAR_40ed0a06883b7317b8a247fb412859d2983321bd,"Jam bands often allow their fans to make tapes or recordings of their live shows, a practice which many other musical genres call 'illegal bootlegging'. The Grateful Dead encouraged this practice, which helped to create a thriving scene around the collecting and trading of recordings of Grateful Dead live performances. Most of the live shows on the Grateful Dead's 30 years of touring were recorded. It was probably the trading of recordings of Grateful Dead shows which built the band's fan base.",1,1,1
103_2,Why did the Grateful Dead allow live recordings?,CAR_4ab95d1208c05c17150e061da8fb3d9891915414,"Fans were also known to record the many FM radio broadcast shows. Garcia looked kindly on tapers (he himself had been on several cross-country treks to record bluegrass music prior to the Grateful Dead), stating: 'There's something to be said for being able to record an experience you've liked, or being  to obtain a recording of it ... my responsibility to the notes is over after I've played them.' In this respect, the Dead are considered by many to be the first 'taper-friendly' band.",1,1,1
103_2,Why did the Grateful Dead allow live recordings?,CAR_c658e3db2ce076489b3187ad7fe974d8d8f4afbc,"Of the approximately 2,350 shows the Grateful Dead played, almost 2,200 were taped, and most of these are available online.  The Band began collecting and cataloging tapes early on and Dick Latvala was their keeper. Dick's Pick is named after Latvala. After his death in 1999, David Lemieux gradually took the post.  Concert set lists from a subset of 1,590 Grateful Dead shows were used to perform a comparative analysis between how songs were played in concert and how they are listened online by Last.fm members. In their book Marketing Lessons from the Grateful Dead: What Every Business Can Learn From the Most Iconic Band in History, David Meerman Scott and Brian Halligan identify the taper section as a crucial contributor to increasing the Grateful Dead's fan base.",1,1,1
83_1,What are some interesting facts about bees?,CAR_23c3b79994286a1b89dbc6cf83c1c4687a024955,"Bumble bees are generally host to a diversity of parasitoids in which the larvae grows inside the living host. The majority of parasitoids for bumble bees are flies and about 30 percent or more bees within the area can be infected. The process of parasitism consists of the fly attaching to the bee in flight and inserting her oviposits between the terga of the bee. The larval fly hatches within the bee host and develops by feeding on the host’s tissues. The bee lives for about two weeks before dying. The fly then pupates and spends the winter inside the bee, fully developed, before it emerges the following year. North American bumblebees are also hosted by one parasitoid wasp and the moth, B. variabilis.  Hibernating queen bumble bees are parasitized by a nematode worm, Sphaerularia bombi. This parasite does not reduce life span, but instead causes the sterilization of the queen. It has been observed that affected queens forage two to three weeks later than those that are unaffected.  Parasitic microorganisms also use bees as their host. Parasitic microorganisms’ effects may be lethal or sublethal. Pathogens may be transmitted within a colony or the bee may be infected at flowers. Tracheal mites (Locustacarus buchneri) leads to reduced foraging efficiency by living in the bee’s alveoli. Certain protozoans and fungi consume the host tissue or gut substances of the bumble bee’s digestive tract, decreasing foraging efficiency, life span, and thus the colony fitness. Bees may contain symbiotic bacteria that offer some immunity to pathogens. Further exposure to habitat loss as well as pesticide exposure may lead to bee predisposition, thus promoting the species’ decay.",1,1,1
83_1,What are some interesting facts about bees?,MARCO_1865508,"Or that a single worker bee produces 1/12 of a teaspoon of honey in her lifetime? Fascinating creatures, these winged stingers. But it's what they do for our foodstuffs that make them particularly interesting: Bees are critical pollinators directly or indirectly responsible for a third of the food we eat, including such goodies as blueberries, apples, and avocados.",1,1,1
83_1,What are some interesting facts about bees?,MARCO_270582,"Bees are flying insects closely related to wasps and ants, known for their role in pollination and, in the case of the best-known bee species, the European honey bee, for producing honey and beeswax. Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila. There are nearly 20,000 known species of bees in seven recognized biological families. They are found on every continent except Antarctica, in every habitat on the planet that cont",1,1,1
83_1,What are some interesting facts about bees?,MARCO_3081567,"The bumble bee is the most common type of bee with around 250 different species of the bumble bee found around the world. Despite the fact that the bumble bee can be found in many countries, it is indigenous to the Northern Hemisphere, breeding more successfully in the more temperate climates.he bumble bee is the most common type of bee with around 250 different species of the bumble bee found around the world. Despite the fact that the bumble bee can be found in many countries, it is indigenous to the Northern Hemisphere, breeding more successfully in the more temperate climates.",1,1,1
83_1,What are some interesting facts about bees?,MARCO_4652218,"1 Bees carry pollen on their hind legs called a pollen basket. 2  Pollen is a source of protein for the hive and is needed to feed to the baby bees to help them grow. 3  A beehive in summer can have as many as 50,000 to 80,000 bees.4  A bee must collect nectar from about 2 million flowers to make 1 pound of honey. The bees use their honeycomb cells to raise their babies in, and to store nectar, honey, pollen and water. 2  Nectar is a sweet watery substance that the bees gather. 3  After they process the nectar in their stomach they regurgitate it into the honeycomb cells. 4  Then they fan with their wings to remove excess moisture.",1,1,1
83_6,What can I do to help provide a habitat for bees?,CAR_824cd6dd5bbaff5a9be80d1791831ea386cfe06a,"Some have found that 'city bees' are actually healthier than 'rural bees' because there are fewer pesticides and greater biodiversity. Urban bees may fail to find forage, however, and homeowners can use their landscapes to help feed local bee populations by planting flowers that provide nectar and pollen. An environment of year-round, uninterrupted bloom creates an ideal environment for colony reproduction.",1,1,1
